Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-16,183.5,187.24,181,183.96,464350
2021-12-17,182.72,189.06,182.1,188.96,752662
2021-12-20,184.24,193.04,184.06,193.04,408734
2021-12-21,191,193,187.02,191.36,220562
2021-12-22,191.4,197.84,191,197.84,334359
2021-12-23,197.84,197.86,191.22,194.58,224342
2021-12-27,191.18,197.26,188.2,195.28,301036
2021-12-28,194,195.2,189.6,190.5,260010
2021-12-29,189.5,193.5,188.52,190.12,162686
2021-12-30,189.2,192.9,189.2,192.9,162817
2022-01-03,192.88,201.9,192.36,200.6,650787
2022-01-04,200.9,201.8,197.7,198.46,513845
2022-01-05,198,204,197.2,204,348892
2022-01-07,200.4,201.55,195.88,198.64,530654
2022-01-10,198.6,199.66,188.1,188.1,403340
2022-01-11,189.5,193.1,188.2,188.56,343540
2022-01-12,189.3,196.66,186,196,523991
2022-01-13,193,197.76,192,193.02,294449
2022-01-14,192.96,195.34,189.7,191,256701
2022-01-17,191.5,191.82,188.7,191,113825
2022-01-18,190,208.1,186.46,194,1468991
2022-01-19,192,192.38,187,187.74,541809
2022-01-20,189.3,192.36,187.48,190,394610
2022-01-21,189,191,184.16,186,377091
2022-01-24,185,187.5,176,178,492727
2022-01-25,178,180.88,172.4,172.82,515298
2022-01-26,173.5,177.2,172.02,173.12,316123
2022-01-27,171.96,175.72,168.56,175.4,269912
2022-01-28,175,176.9,166.1,166.22,474339
2022-01-31,169.2,180.06,166.5,180.06,524308
2022-02-01,181.28,185.9,177.82,180.94,888178
2022-02-02,182,186.6,180.94,185.84,372931
2022-02-03,183.24,185.84,182.46,185,112530
2022-02-04,183,187.34,177.88,177.88,360363
2022-02-07,178.02,181.32,176,179.56,407030
2022-02-08,179.26,180,173.4,178.46,495046
2022-02-09,179.8,183.6,177.94,183.6,363955
2022-02-10,183.8,184,178.16,181.48,197816
2022-02-11,180.76,180.76,176.8,178.02,242564
2022-02-14,173.68,180.78,172.9,178.8,466445
2022-02-15,180,187.36,179.42,180.86,622285
2022-02-16,187.5,188,180.2,181.8,334219
2022-02-17,182,183.8,178.6,180,346062
2022-02-18,180,182.32,174.8,174.8,274160
2022-02-21,176.56,177.2,168.38,169,322394
2022-02-22,166,171.1,159.2,171.1,403438
2022-02-23,175.74,179.9,169,169.4,418291
2022-02-24,160,164,150.2,159.86,763166
2022-02-25,164.32,167.48,160.22,164.4,427057
2022-02-28,161.42,170,159.04,168.4,653468
2022-03-01,170,171.96,166.92,168.3,597472
2022-03-02,167,175,165.98,172.52,581855
2022-03-03,171.5,172,163,163,434390
2022-03-04,163,165.88,159.56,161.28,312568
